name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,aggregate,component,component_label,bin_index,bin_left,bin_right,bin_mid,count,cumulative_count,cumulative_fraction,total_count
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,10,1.333521432163324e-07,1.7782794100389227e-07,1.539926526059492e-07,3,27,4.732192933258553e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,11,1.7782794100389227e-07,2.3713737056616554e-07,2.053525026457146e-07,10,37,6.484856982613573e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,12,2.3713737056616554e-07,3.162277660168379e-07,2.7384196342643614e-07,12,49,8.588053841839597e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,13,3.162277660168379e-07,4.2169650342858225e-07,3.651741272548377e-07,20,69,0.00012093381940549635,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,14,4.2169650342858225e-07,5.62341325190349e-07,4.869675251658631e-07,24,93,0.00016299775659001683,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,15,5.62341325190349e-07,7.498942093324558e-07,6.493816315762113e-07,24,117,0.00020506169377453728,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,16,7.498942093324558e-07,1e-06,8.659643233600654e-07,27,144,0.0002523836231071228,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,17,1e-06,1.333521432163324e-06,1.1547819846894582e-06,55,199,0.0003487801458216489,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,18,1.333521432163324e-06,1.7782794100389227e-06,1.539926526059492e-06,69,268,0.00046971396522714525,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,19,1.7782794100389227e-06,2.3713737056616552e-06,2.053525026457146e-06,86,354,0.0006204430734716769,570560
