name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,tensor,tensor_stem,component,component_label,component_order,layer,submodule,submodule_group,shape,numel,baseline_mean,baseline_std,tuned_mean,tuned_std,delta_mean,delta_std,delta_l1_sum,delta_l2_norm,delta_linf_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,abs_delta_q500,abs_delta_q950,abs_delta_q990,abs_delta_q999,abs_delta_z_q500,abs_delta_z_q950,abs_delta_z_q990,abs_delta_z_q999,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_fraction
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.13.norm1.weight.tensor,transformer_encoder.13.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,13.0,norm1_weight,Norm/deepnorm,512,512,0.29320549964904785,0.021444566547870636,0.293956995010376,0.021491095423698425,0.000751495361328125,0.0006697700009681284,0.42578125,0.022777810045028202,0.003173828125,6.65220354327806,6.669239247187829,0.0034240999838378926,0.9999976387975954,0.0,0.000732421875,0.001708984375,0.002197265625,0.0027995705604553223,0.03415418043732643,0.07969308644533157,0.102462537586689,0.1305491328239441,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.13.norm2.weight.tensor,transformer_encoder.13.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,13.0,norm2_weight,Norm/deepnorm,512,512,0.3176431655883789,0.018648406490683556,0.3183326721191406,0.018773792311549187,0.0006895065307617188,0.0007856557494960725,0.423828125,0.023652678407779033,0.003662109375,7.199819604944974,7.215560935270085,0.0032851765329690533,0.9999972080970131,0.0,0.000732421875,0.001953125,0.002685546875,0.003412604331970215,0.039275284856557846,0.10473410040140152,0.14400938153266907,0.18299700319766998,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.14.deepnorm_alpha.tensor,transformer_encoder.14.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,14.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.14.norm1.weight.tensor,transformer_encoder.14.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,14.0,norm1_weight,Norm/deepnorm,512,512,0.2626149654388428,0.021146051585674286,0.26334214210510254,0.021179620176553726,0.0007271766662597656,0.0007142974645830691,0.43017578125,0.023064506381458964,0.003173828125,5.961530383461906,5.97799270571241,0.0038688901838761346,0.9999964699817839,0.0,0.000732421875,0.001953125,0.0023193359375,0.0031114518642425537,0.034636326134204865,0.09236353635787964,0.10968170315027237,0.1471409648656845,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.14.norm2.weight.tensor,transformer_encoder.14.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,14.0,norm2_weight,Norm/deepnorm,512,512,0.4210224151611328,0.024189021438360214,0.42229795455932617,0.024293512105941772,0.0012755393981933594,0.0008606802439317107,0.677978515625,0.034818082515938036,0.00439453125,9.542359128476376,9.571308940473314,0.0036487918812476905,0.9999981977695402,0.0,0.001220703125,0.002685546875,0.0033911168575286865,0.004145026206970215,0.05046515166759491,0.11102333664894104,0.14019234478473663,0.17135974764823914,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.15.deepnorm_alpha.tensor,transformer_encoder.15.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,15.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.15.norm1.weight.tensor,transformer_encoder.15.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,15.0,norm1_weight,Norm/deepnorm,512,512,0.25661516189575195,0.0307583287358284,0.2571268081665039,0.030883610248565674,0.0005116462707519531,0.0007529026479460299,0.368896484375,0.020597714958490675,0.003662109375,5.848099828700371,5.859932265166872,0.0035221209558361118,0.9999960317337433,0.0,0.0006103515625,0.001708984375,0.0023059099912643433,0.0033502280712127686,0.01984344981610775,0.05556166172027588,0.0749686136841774,0.10892096906900406,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.15.norm2.weight.tensor,transformer_encoder.15.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,15.0,norm2_weight,Norm/deepnorm,512,512,0.5345916748046875,0.02535323053598404,0.5353350639343262,0.025428323075175285,0.0007433891296386719,0.0008542173891328275,0.463134765625,0.025623137243532997,0.00390625,12.110023924144798,12.126906412224816,0.002115861818608287,0.999998892348067,0.0,0.0009765625,0.0021728426218032837,0.00244140625,0.0034072399139404297,0.03851825371384621,0.08570276200771332,0.09629563242197037,0.1343907117843628,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.16.deepnorm_alpha.tensor,transformer_encoder.16.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,16.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.16.norm1.weight.tensor,transformer_encoder.16.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,16.0,norm1_weight,Norm/deepnorm,512,512,0.255903959274292,0.03497700020670891,0.2567715644836426,0.03508714586496353,0.0008676052093505859,0.0008821950759738684,0.5191650390625,0.02799777820832139,0.003662109375,5.8442819934567645,5.864070384312246,0.004790627529551586,0.999994359448775,0.0,0.00091552734375,0.002252195030450821,0.0031604021787643433,0.003474980592727661,0.02617511712014675,0.06439071893692017,0.09035655111074448,0.09935041517019272,0.0,0.0,0.0,0.0
