name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,component,component_label,component_order,numel,delta_l1_sum,delta_l2_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,tail_abs_delta_z_gt_1p0_count,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_count,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_count,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_count,tail_abs_delta_z_gt_5p0_fraction,p999_abs_delta_z_approx,delta_energy_share
Gamma,Gamma,Gamma,Gamma,base,,,3,transformer_ffn,Transformer FFN,2,56623104,36698.36651611328,6.1524966169469675,510.4324132881417,509.9689666281941,0.012053499066239431,0.9999246688976856,0.004140359384042246,0,0.0,0,0.0,0,0.0,0,0.0,0.041872696214409734,0.548278212960496
Gamma,Gamma,Gamma,Gamma,base,,,3,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.78446251153946,0.15761223197539317,41.78867999301332,41.88358351003662,0.0037716489729213917,0.9999956317805384,0.002168021680216802,0,0.0,0,0.0,0,0.0,0,0.0,0.3109297235010714,0.00035981400210845184
Gamma,Gamma,Gamma,Gamma,base,,,3,upsample,Upsample,4,525312,384.51320827007294,0.6690727584752018,46.808640365494604,46.80607943947567,0.014293787498438007,0.9998967987328591,0.004757172880116959,0,0.0,0,0.0,0,0.0,0,0.0,0.05523846368800353,0.006484028528929241
Gamma,Gamma,Gamma,Gamma,base,,,3,crf,CRF head,5,2097152,1672.9010009765625,1.4335423598056591,48.61623023021093,48.44700763543735,0.029486909063442823,0.9995665803114971,0.009638309478759766,0,0.0,0,0.0,0,0.0,0,0.0,0.09820847975283126,0.029765918091972304
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,conv,Convolution front-end,0,570560,878.0177582502365,4.597157363352644,69.34958421627893,70.68084483096737,0.06628961680600032,0.9980250672722694,0.024146452607964105,41,7.18592260235558e-05,7,1.2268648345485138e-05,0,0.0,0,0.0,0.46150980681958714,0.28356666860822943
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,transformer_self_attn,Transformer self-attention,1,18883584,11953.324813961983,3.4922769038481114,329.42211021658665,329.316010738122,0.010601221944550163,0.9999422819550106,0.004210641369773873,0,0.0,0,0.0,0,0.0,0,0.0,0.05218077125029001,0.16364162529042287
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,transformer_ffn,Transformer FFN,2,56623104,37030.268127441406,6.210371977773166,510.4324132881417,509.95442696198353,0.012166884030280748,0.9999233166307981,0.004175504048665364,0,0.0,0,0.0,0,0.0,0,0.0,0.04199917311181101,0.5175015654157918
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.749569237232208,0.15668654451392863,41.78867999301332,41.8826887900602,0.003749497340909582,0.9999956640442483,0.0022222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0.30970673672305693,0.00032941232676951765
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,upsample,Upsample,4,525312,378.9321635365486,0.6609966702341502,46.808640365494604,46.80165957285839,0.01412125336418435,0.9998991388877775,0.004703871223196881,0,0.0,0,0.0,0,0.0,0,0.0,0.05521163737753014,0.005862393744276135
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,crf,CRF head,5,2097152,1713.5634765625,1.4726374698321754,48.61623023021093,48.43764364898054,0.030291066642946406,0.9995429280009563,0.009849071502685547,0,0.0,0,0.0,0,0.0,0,0.0,0.09950236051330706,0.029098334614510158
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,conv,Convolution front-end,0,570560,886.009024143219,4.4300941435377394,69.34958421627893,70.16032505222172,0.06388061577588763,0.9980507615415071,0.021862731351654514,47,8.237521031968593e-05,7,1.2268648345485138e-05,0,0.0,0,0.0,0.49973576053808916,0.27183149808617296
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,transformer_self_attn,Transformer self-attention,1,18883584,11869.135873138905,3.4674213889963936,329.42211021658665,329.3174526079651,0.010525770072678612,0.9999430637589178,0.004180456421831788,0,0.0,0,0.0,0,0.0,0,0.0,0.051941356167370376,0.1665279421248457
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,transformer_ffn,Transformer FFN,2,56623104,36789.94073486328,6.169838011468447,510.4324132881417,509.95843121032914,0.012087472995147607,0.999924297543308,0.004148024099844473,0,0.0,0,0.0,0,0.0,0,0.0,0.04192476197772727,0.5272558308694736
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.71816486120224,0.15670946393302446,41.78867999301332,41.882860214641696,0.00375004580090161,0.9999956898969957,0.002168021680216802,0,0.0,0,0.0,0,0.0,0,0.0,0.31053226269664763,0.0003401451771773639
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,upsample,Upsample,4,525312,382.27213686704636,0.666015271676332,46.808640365494604,46.80380195782181,0.014228468643307929,0.999897629763617,0.004734329312865497,0,0.0,0,0.0,0,0.0,0,0.0,0.05528279154535232,0.006143873184528489
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,crf,CRF head,5,2097152,1652.752685546875,1.4192885464837415,48.61623023021093,48.44124733488368,0.0291937186359987,0.99957565781448,0.009532451629638672,0,0.0,0,0.0,0,0.0,0,0.0,0.09824549013276238,0.0279007105578019
Beta,Beta,Beta,Beta,base,,,6,conv,Convolution front-end,0,570560,805.8217193186283,3.81684999707142,69.34958421627893,69.62743082374604,0.055037820921432556,0.9984994550826668,0.02184695737521032,46,8.06225462703309e-05,3,5.257992148065059e-06,0,0.0,0,0.0,0.4620507484417445,0.21875853727202063
Beta,Beta,Beta,Beta,base,,,6,transformer_self_attn,Transformer self-attention,1,18883584,11820.938461780548,3.452963749443366,329.42211021658665,329.3237618119625,0.010481882188093324,0.9999435331025035,0.004161762936527303,0,0.0,0,0.0,0,0.0,0,0.0,0.05186461180567514,0.17903538063034152
Beta,Beta,Beta,Beta,base,,,6,transformer_ffn,Transformer FFN,2,56623104,36600.81036376953,6.136059041442956,510.4324132881417,509.9690240765395,0.01202129583016725,0.9999250449030732,0.004129692360206887,0,0.0,0,0.0,0,0.0,0,0.0,0.041843273391353186,0.5653714651908043
Beta,Beta,Beta,Beta,base,,,6,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.775153040885925,0.15719575109882034,41.78867999301332,41.883823490019715,0.0037616826165626253,0.9999956772541977,0.0022764227642276423,0,0.0,0,0.0,0,0.0,0,0.0,0.31023051417637265,0.0003710534143838298
Beta,Beta,Beta,Beta,base,,,6,upsample,Upsample,4,525312,378.64800065755844,0.6595131666331556,46.808640365494604,46.804684039965665,0.014089560420543797,0.9998995277452613,0.004721003898635477,0,0.0,0,0.0,0,0.0,0,0.0,0.05501207004389793,0.006531332093354655
Beta,Beta,Beta,Beta,base,,,6,crf,CRF head,5,2097152,1645.651611328125,1.4118616248211144,48.61623023021093,48.44364124374968,0.029040952334961817,0.9995797523033498,0.00948953628540039,0,0.0,0,0.0,0,0.0,0,0.0,0.09784763375469335,0.02993223139909511
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,conv,Convolution front-end,0,570560,955.538416326046,4.464967216159623,69.34958421627893,70.53391176000399,0.0643834749208412,0.9981056152017206,0.023231561974200784,79,0.00013846045989904655,4,7.010656197420078e-06,0,0.0,0,0.0,0.5517836228205135,0.26248266324944985
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,transformer_self_attn,Transformer self-attention,1,18883584,12263.709934353828,3.577908418044766,329.42211021658665,329.3217049992483,0.010861166591678899,0.9999394683067352,0.004330427952659834,0,0.0,0,0.0,0,0.0,0,0.0,0.05288128045912464,0.16854757752076202
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,transformer_ffn,Transformer FFN,2,56623104,37971.25909423828,6.36208249316717,510.4324132881417,509.9638379010779,0.01246410362575413,0.9999196557371778,0.0042875077989366316,0,0.0,0,0.0,0,0.0,0,0.0,0.042354703027528896,0.5329207950004025
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.848811268806458,0.15596652253246657,41.78867999301332,41.88209132032757,0.0037322672685171916,0.9999956930206041,0.0022764227642276423,0,0.0,0,0.0,0,0.0,0,0.0,0.30657408539565234,0.0003202778122535616
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,upsample,Upsample,4,525312,388.52345883846283,0.6752928904407839,46.808640365494604,46.79311116451097,0.014426671767603134,0.9998947477751357,0.004859968932748538,0,0.0,0,0.0,0,0.0,0,0.0,0.05515786603478258,0.006004107091945775
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,crf,CRF head,5,2097152,1759.7799072265625,1.5025392338712855,48.61623023021093,48.418494255165555,0.03090612387583996,0.9995253496938812,0.010089397430419922,0,0.0,0,0.0,0,0.0,0,0.0,0.0990921445317391,0.029724579325186337
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,conv,Convolution front-end,0,570560,878.2655659914017,4.234337748582733,69.34958421627893,69.91270428577725,0.06105786785075945,0.9981836994433838,0.021883763320246774,64,0.00011217049915872125,6,1.0515984296130118e-05,0,0.0,0,0.0,0.5147001172112834,0.25739367013695513
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,transformer_self_attn,Transformer self-attention,1,18883584,11814.848784029484,3.451522326580479,329.42211021658665,329.32049197456615,0.010477506577537191,0.9999435429002717,0.004158797397782116,0,0.0,0,0.0,0,0.0,0,0.0,0.05183340332208261,0.1710205284514592
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,transformer_ffn,Transformer FFN,2,56623104,36573.97772216797,6.131016680937589,510.4324132881417,509.96049795318095,0.012011417224549544,0.9999251710491122,0.004125807020399306,0,0.0,0,0.0,0,0.0,0,0.0,0.041828867010396606,0.5396247562536994
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.68199759721756,0.1557219366315106,41.78867999301332,41.88315190919705,0.0037264143461229727,0.9999957941906042,0.002113821138211382,0,0.0,0,0.0,0,0.0,0,0.0,0.30938974224349813,0.0003481179860618688
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,upsample,Upsample,4,525312,367.6130709052086,0.6414655306881997,46.808640365494604,46.801101413475756,0.013703998357556393,0.9999049888651349,0.004610593323586745,0,0.0,0,0.0,0,0.0,0,0.0,0.05468947958258695,0.005907089062433953
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,crf,CRF head,5,2097152,1555.0997314453125,1.3381427610840886,48.61623023021093,48.433477655568986,0.027524609677624014,0.9996236155340307,0.008899211883544922,0,0.0,0,0.0,0,0.0,0,0.0,0.09633435914611813,0.025705838109390398
