name,display_name,family,variant,sort_order,seed_index,seed_label,seed,threshold,weighted_jaccard,jensen_shannon_similarity,exact_overlap_mass,intersection_variants,source_variants,groundtruth_variants,precision,recall,f1
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,1,0.21991972175758884,0.6071793056296312,0.46525743726171204,76014.0,117348.0,273284.0,0.6477656202065651,0.27815020271951524,0.38918470581007186
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,2,0.25879372045033044,0.7292615866173466,0.5677125227554813,26727.0,39280.0,107484.0,0.6804226069246436,0.24866026571396674,0.3642173830094574
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,3,0.2788869099240773,0.8054752860288413,0.6364086729397678,13354.0,18561.0,53134.0,0.7194655460373902,0.2513268340422328,0.37252249110816654
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,4,0.28557869956890464,0.8518829165614564,0.6771052424432851,7763.0,10359.0,30491.0,0.7493966599092576,0.2545997179495589,0.38007343941248467
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,5,0.28432122077403704,0.8822414378054826,0.7098300774318518,5016.0,6423.0,19331.0,0.780943484353106,0.2594795923645957,0.3895317232274598
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,6,0.27980922644066636,0.9031893566242188,0.7361319394456508,3481.0,4297.0,13072.0,0.8101000698161508,0.2662943696450428,0.40082906327364837
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,7,0.27324759830728923,0.9188069745666951,0.7581872371180542,2623.0,3093.0,9309.0,0.8480439702554154,0.28177032978837685,0.4229962909208192
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,8,0.2667387477189964,0.9300797407487923,0.7752321929382485,2153.0,2431.0,6930.0,0.8856437679967092,0.31067821067821066,0.45999359042837296
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,9,0.26044248013693383,0.9387292608042922,0.7895757656386335,1848.0,2024.0,5290.0,0.9130434782608695,0.3493383742911153,0.505332239540607
AlphaQCH_s03,AlphaQCH,Alpha,QCH,2,3,s03,1364179249,10,0.25414285968565886,0.9451961959859012,0.8013136097386421,1662.0,1768.0,4234.0,0.9400452488687783,0.3925366084081247,0.5538153948683772
