name,base_model,family,variant,seed_index,seed_label,seed,training_input,min_accuracy_save_ctc,lr,batch,training_chunks,validation_chunks,run_dir,model_wrapper_dir
BetaQCH_s03,BetaQCH,Beta,QCH,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s03,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s03
BetaQCH_s04,BetaQCH,Beta,QCH,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s04,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s04
BetaQCH_s05,BetaQCH,Beta,QCH,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s05,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s05
BetaQCH_s06,BetaQCH,Beta,QCH,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s06,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s06
BetaQCH_s07,BetaQCH,Beta,QCH,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s07,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s07
BetaQCH_s08,BetaQCH,Beta,QCH,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s08,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s08
BetaQCH_s09,BetaQCH,Beta,QCH,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s09,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s09
BetaQCH_s10,BetaQCH,Beta,QCH,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0.99,0.0002,45,2939,300,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCH/BetaQCH_s10,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCH_s10
Gamma_s01,Gamma,Gamma,base,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s01,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s01
Gamma_s02,Gamma,Gamma,base,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s02,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s02
Gamma_s03,Gamma,Gamma,base,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s03,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s03
Gamma_s04,Gamma,Gamma,base,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s04,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s04
Gamma_s05,Gamma,Gamma,base,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s05,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s05
Gamma_s06,Gamma,Gamma,base,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s06,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s06
Gamma_s07,Gamma,Gamma,base,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s07,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s07
Gamma_s08,Gamma,Gamma,base,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s08,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s08
Gamma_s09,Gamma,Gamma,base,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s09,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s09
Gamma_s10,Gamma,Gamma,base,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_full,0,0.0000014,45,84517,8450,/mnt/experimental/ont/seeded_bonito_v1/runs/Gamma/Gamma_s10,/mnt/experimental/ont/seeded_bonito_v1/models/Gamma_s10
GammaQCL_s01,GammaQCL,Gamma,QCL,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s01,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s01
GammaQCL_s02,GammaQCL,Gamma,QCL,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s02,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s02
GammaQCL_s03,GammaQCL,Gamma,QCL,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s03,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s03
GammaQCL_s04,GammaQCL,Gamma,QCL,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s04,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s04
GammaQCL_s05,GammaQCL,Gamma,QCL,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s05,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s05
GammaQCL_s06,GammaQCL,Gamma,QCL,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s06,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s06
GammaQCL_s07,GammaQCL,Gamma,QCL,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s07,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s07
GammaQCL_s08,GammaQCL,Gamma,QCL,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s08,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s08
GammaQCL_s09,GammaQCL,Gamma,QCL,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s09,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s09
GammaQCL_s10,GammaQCL,Gamma,QCL,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0,0.000004,45,36042,3600,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCL/GammaQCL_s10,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCL_s10
GammaQCH_s01,GammaQCH,Gamma,QCH,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0.99,0.0000325,45,13281,1300,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCH/GammaQCH_s01,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCH_s01
GammaQCH_s02,GammaQCH,Gamma,QCH,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0.99,0.0000325,45,13281,1300,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCH/GammaQCH_s02,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCH_s02
GammaQCH_s03,GammaQCH,Gamma,QCH,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0.99,0.0000325,45,13281,1300,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCH/GammaQCH_s03,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCH_s03
GammaQCH_s04,GammaQCH,Gamma,QCH,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0.99,0.0000325,45,13281,1300,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCH/GammaQCH_s04,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCH_s04
GammaQCH_s05,GammaQCH,Gamma,QCH,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0.99,0.0000325,45,13281,1300,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCH/GammaQCH_s05,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCH_s05
GammaQCH_s06,GammaQCH,Gamma,QCH,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/AB_filtered,0.99,0.0000325,45,13281,1300,/mnt/experimental/ont/seeded_bonito_v1/runs/GammaQCH/GammaQCH_s06,/mnt/experimental/ont/seeded_bonito_v1/models/GammaQCH_s06
